"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
225,"Round Rock ISD - Proposition B (Vote For 1)","FOR","NON",12574,59.74,65538,42224,20,12,"0","0"
226,"Round Rock ISD - Proposition B (Vote For 1)","AGAINST","NON",8475,40.26,65538,42224,20,12,"0","0"
227,"Round Rock ISD - Proposition C (Vote For 1)","FOR","NON",11674,55.54,65538,42224,20,12,"0","0"
228,"Round Rock ISD - Proposition C (Vote For 1)","AGAINST","NON",9344,44.46,65538,42224,20,12,"0","0"
229,"Round Rock ISD - Proposition D (Vote For 1)","FOR","NON",8336,39.75,65538,42224,20,12,"0","0"
230,"Round Rock ISD - Proposition D (Vote For 1)","AGAINST","NON",12633,60.25,65538,42224,20,12,"0","0"
231,"Lakeway MUD - Proposition A (Vote For 1)","FOR","NON",3,100.00,2281,1694,1,0,"0","0"
232,"Lakeway MUD - Proposition A (Vote For 1)","AGAINST","NON",0,0.00,2281,1694,1,0,"0","0"
233,"Lakeway MUD - Proposition B (Vote For 1)","FOR","NON",3,100.00,2281,1694,1,0,"0","0"
234,"Lakeway MUD - Proposition B (Vote For 1)","AGAINST","NON",0,0.00,2281,1694,1,0,"0","0"
235,"Lakeway MUD - Proposition C (Vote For 1)","FOR","NON",3,100.00,2281,1694,1,0,"0","0"
236,"Lakeway MUD - Proposition C (Vote For 1)","AGAINST","NON",0,0.00,2281,1694,1,0,"0","0"
237,"Lost Creek Limited District, Director Election (Vote For 2)","Rachel Jackson","NON",840,29.89,6174,4672,2,0,"0","0"
238,"Lost Creek Limited District, Director Election (Vote For 2)","Rich Grafton","NON",975,34.70,6174,4672,2,0,"0","0"
239,"Lost Creek Limited District, Director Election (Vote For 2)","Patti Brennan","NON",995,35.41,6174,4672,2,0,"0","0"
240,"Lund Farm MUD Proposition A (Vote For 1)","FOR","NON",0,0.00,579,356,1,0,"0","0"
241,"Lund Farm MUD Proposition A (Vote For 1)","AGAINST","NON",0,0.00,579,356,1,0,"0","0"
242,"Lund Farm MUD Proposition B (Vote For 1)","FOR","NON",0,0.00,579,356,1,0,"0","0"
243,"Lund Farm MUD Proposition B (Vote For 1)","AGAINST","NON",0,0.00,579,356,1,0,"0","0"
244,"Lund Farm MUD Proposition C (Vote For 1)","FOR","NON",0,0.00,579,356,1,0,"0","0"
245,"Lund Farm MUD Proposition C (Vote For 1)","AGAINST","NON",0,0.00,579,356,1,0,"0","0"
246,"Lund Farm MUD Proposition D (Vote For 1)","FOR","NON",0,0.00,579,356,1,0,"0","0"
247,"Lund Farm MUD Proposition D (Vote For 1)","AGAINST","NON",0,0.00,579,356,1,0,"0","0"
248,"Lund Farm MUD Proposition E (Vote For 1)","FOR","NON",0,0.00,579,356,1,0,"0","0"
249,"Lund Farm MUD Proposition E (Vote For 1)","AGAINST","NON",0,0.00,579,356,1,0,"0","0"
250,"Lund Farm MUD Proposition F (Vote For 1)","FOR","NON",0,0.00,579,356,1,0,"0","0"
251,"Lund Farm MUD Proposition F (Vote For 1)","AGAINST","NON",0,0.00,579,356,1,0,"0","0"
252,"Lund Farm MUD Proposition G (Vote For 1)","FOR","NON",0,0.00,579,356,1,0,"0","0"
253,"Lund Farm MUD Proposition G (Vote For 1)","AGAINST","NON",0,0.00,579,356,1,0,"0","0"
254,"Lund Farm MUD, Director Election (Vote For 5)","Sophia Kidd","NON",0,0.00,579,356,1,0,"0","0"
255,"Lund Farm MUD, Director Election (Vote For 5)","Reid Olson","NON",0,0.00,579,356,1,0,"0","0"
256,"Lund Farm MUD, Director Election (Vote For 5)","Ben Wiggins","NON",0,0.00,579,356,1,0,"0","0"
257,"Lund Farm MUD, Director Election (Vote For 5)","Elizabeth Koroscik","NON",0,0.00,579,356,1,0,"0","0"
258,"Lund Farm MUD, Director Election (Vote For 5)","Justin Straub","NON",0,0.00,579,356,1,0,"0","0"
259,"North Austin MUD No. 1, Director, Place 1 (Vote For 1)","Rachel Beaulieu","NON",293,100.00,3412,1998,1,1,"0","0"
260,"North Austin MUD No. 1, Director, Place 3 (Vote For 1)","Jo R. Jones","NON",140,42.04,3412,1998,1,1,"0","0"
261,"North Austin MUD No. 1, Director, Place 3 (Vote For 1)","Tara Iagulli","NON",193,57.96,3412,1998,1,1,"0","0"
262,"North Austin MUD No. 1, Director, Place 5 (Vote For 1)","Kim Roche-Green","NON",293,100.00,3412,1998,1,1,"0","0"
263,"Tanglewood Forest Limited District, Director At-large (Vote For 3)","Steven Gerlofs","NON",488,19.00,12548,8567,4,1,"0","0"
264,"Tanglewood Forest Limited District, Director At-large (Vote For 3)","Noel Gonsalvez","NON",624,24.29,12548,8567,4,1,"0","0"
265,"Tanglewood Forest Limited District, Director At-large (Vote For 3)","Cynthia Luna","NON",595,23.16,12548,8567,4,1,"0","0"
266,"Tanglewood Forest Limited District, Director At-large (Vote For 3)","Laura Shotwell","NON",394,15.34,12548,8567,4,1,"0","0"
267,"Tanglewood Forest Limited District, Director At-large (Vote For 3)","Damien Trevino","NON",468,18.22,12548,8567,4,1,"0","0"
268,"Tanglewood Forest Limited District Proposition A (Vote For 1)","FOR","NON",970,54.34,12548,8567,4,1,"0","0"
269,"Tanglewood Forest Limited District Proposition A (Vote For 1)","AGAINST","NON",815,45.66,12548,8567,4,1,"0","0"
270,"Wells Branch MUD, Director, Place 2 (Vote For 1)","Moises 'Moe' Solis","NON",2242,60.08,17891,10299,6,3,"0","0"
271,"Wells Branch MUD, Director, Place 2 (Vote For 1)","Margaret McGhee-Sufke","NON",1490,39.92,17891,10299,6,3,"0","0"
272,"Wells Branch MUD, Director, Place 4 (Vote For 1)","Jon Klekman","NON",3276,100.00,17891,10299,6,3,"0","0"
273,"Williamson-Travis Counties MUD No. 1, Director (Vote For 2)","Linda Fabre","NON",181,23.00,4414,3087,1,0,"0","0"
274,"Williamson-Travis Counties MUD No. 1, Director (Vote For 2)","Chris W. Rocco","NON",245,31.13,4414,3087,1,0,"0","0"
275,"Williamson-Travis Counties MUD No. 1, Director (Vote For 2)","Carrol Fowler Norrell","NON",239,30.37,4414,3087,1,0,"0","0"
276,"Williamson-Travis Counties MUD No. 1, Director (Vote For 2)","Cynthia Kimble","NON",122,15.50,4414,3087,1,0,"0","0"
277,"Travis County ESD No. 2 Proposition A (Vote For 1)","FOR","NON",16689,31.68,121562,73728,41,21,"0","0"
278,"Travis County ESD No. 2 Proposition A (Vote For 1)","AGAINST","NON",35995,68.32,121562,73728,41,21,"0","0"
279,"Wells Branch Community Library District, Board of Trustees (Vote For 3)","Jennifer Klein","NON",2370,26.28,17891,10299,6,3,"0","0"
280,"Wells Branch Community Library District, Board of Trustees (Vote For 3)","Madison Swenson","NON",1406,15.59,17891,10299,6,3,"0","0"
281,"Wells Branch Community Library District, Board of Trustees (Vote For 3)","Elizabeth Martin","NON",2174,24.11,17891,10299,6,3,"0","0"
282,"Wells Branch Community Library District, Board of Trustees (Vote For 3)","Cassie Baker","NON",1397,15.49,17891,10299,6,3,"0","0"
283,"Wells Branch Community Library District, Board of Trustees (Vote For 3)","Abigail Joffrain","NON",1670,18.52,17891,10299,6,3,"0","0"
